school_name,school_address,school_phone,school_email,tenant_id
"Colégio Estadual São José","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Colégio Estadual Professor Carlos Valadares","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Cleriston Andrade","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Daniel Ribeiro de Oliveira","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Dom Pedro II","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal João Durval Carneiro","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Altino Mota Aragão","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Francisco Valadares da Silva","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Armindo Cordeiro da Silva","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal José Alvino Pereira","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Luiz Pereira de Souza","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Mário Cunha de Oliveira","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Nossa Senhora das Graças","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal São José","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Senador Rui Santos","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Senhorinha da Silva Lima","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Nossa Senhora Aparecida","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Teotônio Correia de Freitas","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Áureo Filho","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Raildo Freitas","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Monsenhor Luiz Ramos Machado","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Abílio Ribeiro Falcão","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Creche Escola Municipal Joselinda Sales Estrela","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Saturnino Januário Fagundes","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Irmã Iraídes de Araújo Cruz","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Colégio Saber","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Escola Municipal Irmã Maria José do Nascimento Brandão","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Centro Municipal de Educação Infantil Lara Mercês Cunha","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
"Colégio Águia","Santa Bárbara - BA",,"","77d9af39-0f4d-4702-9692-62277e13e42e"
